rownum,id,user,text
0,2177110313,afail,Getting Ready to start another busy week - lots of work to do today 
1,1834056468,cheergod2002,i think i pulled something in my back    it kinda hurts 
2,2177933823,alixemerson,Back at work; haven't had coffee yet 
3,1990905310,karinb_za,@blindcripple I love the sound of jets flying overhead. It's thrilling and exciting! 
4,1834348758,kel_is_she,@jaymzstevens thought that was really nice  made me miss my 2 cos they away for the night.
5,1823385640,maryzheng,i just customized my layout for the first time! reminds me of when i used to code everything...twitter is so simple and cute; i love it 
6,2066020834,WalkInTheSun_,"@jessiiemcfly Gutted  I'm going to Westonbirt  only 12 days now! xD saw them on the radioactive tour too, was awesome! Did you go? xx"
7,1692856516,LolaBunny21,I need a new phone!!  this one is startin to really suck
8,2052700058,alexcairncross,@NeilMcMahon whoops - maybe he has now... sorry BC 
9,2190093104,dumbD,drying my pants 
10,1754792100,antispamgirl,Well scratch that... the restaurant we were going to is closed 
11,2254652129,Davidwalsh16,Unfortunately the camera lens has a scratch so it needs to go back. 
12,2062323205,shayanveski,@damnitryon uhh what? Hahha 
13,1554169282,varsxusar,Stupid food 
14,1827421745,MorganAnn123,"no, johnny's awesome. "
15,2063390226,Knitcave1,Danced throughout 
16,1990685028,Emmaspek,Very nice weather here in holland today!! 
17,2004047324,anndi,@kruchal Can I uncross my fingers now? 
18,2297011413,TDetweiler,"Blog post will have to wait till this afternoon, my Internet is out  booooo"
19,1677171742,carellemangalia,lazy saturday   finally getting some rest!
20,1836242673,lilmisshollie,"@kinkmachine Yeppy  I got loads of emails demanding my help on failting love crap, but haven't got the strength to even bother. Gaybie."
21,2031685328,Buckigirl89,I was hoping my Starbucks would keep me awake to study last night... but Starbucks failed me and I fell asleep.. time to cram 
22,2181250677,DayleLauren,One of my fav new WEST songs...so summer  Everybody say WESTURN UNION â« http://blip.fm/~89rch
23,1989497439,abhishek_modi,"Just had Toofani, Pahadi, italian and Kashmiri Parathas .....  ....... and i m now FULLLLLLLL ..."
24,1564104096,mikaylamaree,"the initiation of sarah, jaws &amp; rogue  all in one day ?"
25,1977570189,italianspitfire,Didn't finish the kitche.   Headed to Laura's to play!  ;-)
26,2285047951,rebeccalinh,@juicifroot  i'm SO sorry. perhaps we can make it up with a birthday dinner together?
27,1984985989,kickroxcmb,@djprostyle boppin my head listenin to u babeeeee 
28,2002609122,proxymoron,"@fudgeit I'd love to but I'm up to my neck in it at work at the moment - if things calm a bit then I can come, but otherwise no "
29,2299421025,alicia92188,I really need potatoes but nobody can run to the store for me cause I'm stuck at the house with 3 kids  can someone help me
30,2013795098,Camilia89,i am so poor this summer  stupid school taking all my money!
31,1971022829,hash_iphone,@logicattraction @Sean_T_Wright sadly it refuses to play on my iPhone 
32,2051781524,davry,late the lunch made my side acid rise 
33,2058641650,sugarlace,"@catjuan my house is an open house for champorado breakfast on this cold, depressing Sunday!  Hope you're still under the doona &amp; pj's!"
34,1986047369,Pelsi,@darwinstorm It helps it along if you &quot;accidentally&quot; drop it into a fountain. I want half a day  I keep hoping to wake up feeling ill.
35,1975582352,xtoatsmagoatsx,@whowatcheswho how's ur party? Having fun?  x
36,1981099616,summerrays,Im enjoying her first day on twitter me thinks 
37,2046120397,damarisens,@sunnymchao yeahh!!   hahaha I used to eat them a lot when I was in australia  but here in mexico we don't have krispy kreme shops haha
38,1827579265,rowancompsciguy,looking for a place to donate my old NES games... i'll miss them so much 
39,1986307900,juicyypoo,YAAAAY ROB WON! 
40,2064142654,hannahlovato,Graduation in 2 days ): No more elementary.... Skipping to grade 7 instead of 6...... Nervous 
41,1828037579,karih22,only two weeks left until summer vacay  New Smyrna Beach in 5 days 
42,2017880627,leslieannn,@TraceCyrus yay! it's going to be soo awesome! 
43,1986399323,krystinascott,@CynthiaBuroughs  falsies
44,1989550087,fastchicken,@venzann it's called an iPhone. Works nice on XT I'm told 
45,2208107906,NathalieCaron,@NextOnHeroes Thanks! I still kind of feel bad though. I've got so many tweets that I usually no longer go back to read them 
46,2325575995,Seany_,@mmm_gash ...nothing back!  lol
47,2215229007,aimyhuynh,lo Äiá»m thi quÃ¡  . Sao ai cÅ©ng toÃ n loáº¡i trung bÃ¬nh váº­y (
48,2053861022,yasmeink,@sanya29 because the builders r here  but i got out now and hav fooood  i miss u too sanny!! when r u in nxt? xxx
49,1557821782,seviilicious,@Layzz13 yes please 
50,1984549046,joelrthrfrd,I could go a bottle of peach ice tea or alot of coffee 
51,2178212398,CarolineGuichon,http://bit.ly/mAxQY  ~ ok hope this link works  
52,1983467566,ctrymaus,@FLNonficwriter http://twitpic.com/6c6nc - He DOES!  Soooo cute!
53,1553895328,paaaulaaac,@mileycyrus i love you for clearing up all rumors  gossip sites are frigging annoying ...though i love to read them  bahaha
54,1755602056,sexlovelies,Okay scratch that we missed out flight 
55,1556666598,sizzle_jackson,wish i could hold him tight! 
56,2063407704,kaatincontrol,Work sucks  bored out of my face. I think it's maybe time to buy a new dress x
57,2015738107,Mama_Roo,My little man is 7 months old today 
58,1984664187,XeBeans,another WONDERFUL weekend! i almost hate to go back.... you're not here yet and i hate you already. damn you mondays 
59,2260046647,dizelo,at seafood paradise for another wedding! so hungry!! 
60,1694495128,vi_dam,"@elmooo_ i would love to meet up with you and your friend, but i live in Brisbane "
61,2071935624,Dmar0311,  but i'm proud.
62,2190860026,wenchean,Fashion Truth is closing down! Nooooooooooo! 
63,1556776313,andreatangg,word of the day: whooodootooodppotoodpogsa  and it aint lame.
64,1961572344,Redz0ne,im in a garden in a pub drinking a beer  nice
65,2063577897,___Liz,@peterfacinelli: don't think that i get a reply; just wanted to say you're an amazing actor. hope you have a good time at New Moon set. 
66,1573486718,hieu_tran,"Photo: concerto: Bï¿½ quï¿½, ko th?y ch?  http://tumblr.com/xii1mm508"
67,1693120378,Callygee,@AudriLucasey and no prob i enjoyed it love you too!  my message was too long for one tweet lol.
68,1994840283,looloojoju,crikey that plane thing makes me feel sick. brings the old fear back 
69,2058381106,xPurplexMuffinx,@MMR04 hmmm could probably take ages with me  lol but if u can deal with me sure
70,2061691293,xAnnick,I miss montreal  
71,1833661190,pookylopez,Money comes and goes so fast 
72,1678686984,Rezze,just finished the white chocolate and raspberry cheesecake for tomorrow. It had BETTER be worth it. I don't like a.m. bedtimes 
73,2285287754,beautifulcity,http://bit.ly/PJxq2   SO SAD!!    They were a great couple.
74,2197595341,leebutton,"The application website is down  I hope to apply later, if not it'll have to be in the morning"
75,2197074109,geefunk,@thinkblue Came out today and the signing is tonight 7pm The Grove. I wont be able to make it. 
76,1833420404,Justblakeb,Fresh out of the shower SQUEEKY CLEAN! Goin to bed! 
77,1965467077,vlankaa,Shopping and Mtv movie awards 
78,1965843996,rebeccazych,Lou Malnati's tonight with some family 
79,1964085189,tommygalicia,Raining again 
80,1755376010,nwistheone,@pliesenfeld sorry to hear that 
81,2059322530,angel9293,even with the worlds fastest browser my computer was being a dinosaurrrr.......... wow thats sad  my computer is gonna die soon i think
82,1794387354,jsuplido,@tekkiepinay could be an incomplete download 
83,1957468092,azpunster,"@starryeyed and new style, too "
84,2189427074,Lesliegrimes,@erniehalter Are you trying to become the &quot;Next Food Network Star&quot; 
85,1469341428,brandonbutram,"@kevinoshea Aim it in the middle, use the law of averages. "
86,2060936835,babe_69,Chillin at home.....boring 
87,1989133189,prommindh,"Struggling again with the new deal as it hasn't been completely accepted due to the current financial constraints of other party, "
88,2001434093,sksh,Stuck in traffic 
89,2002266024,biiiancaaa,@sapphireblue14 Noreeeeeen. Haha. Hello. 
90,2049650551,miss_laalaa,yay movies!  finally. friends.
91,1957017043,Rockergirl75,@dootybby Why r u up? 
92,1556234271,thelady,"@newyorknomad ha ha! actually i love iphoto exporter but wonder why this one does not announce on my new albums, so NO ONE knows!!! "
93,2252831831,tasteslikestars,@PhillyD Thank god you're alive.  that's awful!
94,1563468944,TannyaJoaquin,@MATT_369 Thanks to your campaigning.  We've got a competition now.
95,2192194937,BowlMeOverVa,@Vets4Sarah Pretty cool....Mice Again? 
96,1932329069,ronimom,http://twitpic.com/61bvw - @madlyv found the sign hilarious although really necessary I guess 
97,2062766163,Plepor,@baileyraetsen aww well good on you  x
98,1825065069,sherianelfie,@McFanpire Bad fat Lizï¿½e! You suck (but i Love you)  &lt;3
99,1694184370,JTheMachine,"@misskittymarie Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I'm excited to record that on Wednesday "
100,2177402286,OMGitsAddison,I am in the car and sad I have to leave the lake 
